Subject,SessionDate,SessionTime,Sex,SexNum,Age,NativeLanguage,watch_movies,enjoy_scary_movies,watch_scary_movies,TV_with_screams,know_about_movies_actors,know_video_gmes,play_action_vid_gmes,confid_about_scrms_expt,diff_making_choice_expt,reading_emotions,CambridgeBehaviourScale,Trial,SoundFile2,StimType,Duration_1,Duration_2,Sound_End_Time,ScreamerSex,CorrectAnswer,Stimulus.RESP,ACC,Stimulus.RT,Actual_Latency
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,6,SameVocalizer_15,1.00,677.00,990.00,4003.00,0.00,1,1,1.00,4430,427.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,50,SameVocalizer_16,1.00,3636.00,4663.00,10677.00,0.00,1,1,1.00,11325,648.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,53,SameVocalizer_17,1.00,1635.00,1326.00,5182.00,0.00,1,1,1.00,6273,1091.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,44,SameVocalizer_18,1.00,533.00,659.00,3443.00,0.00,1,2,0.00,6830,3387.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,58,SameVocalizer_19,1.00,2078.00,1955.00,6320.00,0.00,1,2,0.00,8198,1878.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,57,SameVocalizer_20,1.00,2050.00,1517.00,5594.00,0.00,1,1,1.00,6772,1178.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,5,SameVocalizer_21,1.00,898.00,1517.00,4555.00,0.00,1,2,0.00,5920,1365.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,19,SameVocalizer_22,1.00,641.00,389.00,3506.00,0.00,1,1,1.00,4297,791.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,47,SameVocalizer_23,1.00,6076.00,7904.00,16542.00,0.00,1,1,1.00,11583,-4959.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,13,SameVocalizer_24,1.00,1290.00,1262.00,4642.00,0.00,1,1,1.00,5558,916.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,4,DifferentVocalizer_1,2.00,893.00,679.00,3725.00,0.00,2,2,1.00,5633,1908.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,20,DifferentVocalizer_2,2.00,1351.00,1084.00,4823.00,1.00,2,2,1.00,7255,2432.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,30,DifferentVocalizer_3,2.00,1351.00,1175.00,5427.00,1.00,2,2,1.00,6833,1406.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,21,DifferentVocalizer_4,2.00,891.00,665.00,3640.00,0.00,2,2,1.00,5429,1789.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,54,DifferentVocalizer_5,2.00,1818.00,1831.00,5708.00,1.00,2,2,1.00,5408,-300.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,15,DifferentVocalizer_6,2.00,487.00,371.00,3323.00,1.00,2,1,0.00,7125,3802.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,43,DifferentVocalizer_7,2.00,2923.00,2782.00,8110.00,1.00,2,2,1.00,6732,-1378.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,14,DifferentVocalizer_8,2.00,636.00,749.00,3523.00,1.00,2,2,1.00,3862,339.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,16,DifferentVocalizer_9,2.00,1726.00,1134.00,6700.00,0.00,2,2,1.00,6656,-44.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,11,DifferentVocalizer_10,2.00,888.00,870.00,4015.00,0.00,2,2,1.00,4285,270.00
